id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),,
SlaT-3175-n14,cognosco,v#v-w118_MPf24_MP,cognosco-06,v#00598954,94738,"ACT, PAT",cognito consilio,,,,,,
SlaT-3175-n15,consilium,v#v-w316_MPf1_MP,,,,,,,NON-EVENT,,,,
SlaT-3175-n20,defendo,v#v-w620_MPf4_MP,defendo-10,v#01129876,98236,"ACT, PAT",gladio se a multitudine defendit,,,,,,
SlaT-3175-n23,cohortor,v#v-w1039_MPf2_MP,cohortor-02,v#00771341,94757,"ACT, PAT",Volturcius primo cohortatus ceteros,,,,,,
SlaT-3175-n28,obtestor,v#v-w1300_MPf2_MP,obtestor-01,v#00759269,114498,"ACT, ADDR, PAT",multa prius de salute sua Pomptinum obtestatus,,,,,,
SlaT-3175-n30,desero,v#v-w626_MPf2_MP,desero-01,v#00614057,98882,"ACT, PAT",a legatis desertus est,,,,,,
SlaT-3175-n37,sum,v#v-w2_MPf111_MP,have-mod-91,,,,,,,,"better a single predicate nosco, passive",,
SlaT-3175-n38,nosco,v#v-w87_MPf13_MP,nosco-02,v#00594337,113840,"ACT, PAT",quod ei notus erat,,,,,,
SlaT-3175-n40,dedo,v#v-w790_MPf3_MP,dedo-03,v#01115585,98205,"ACT, ADDR, PAT",sese praetoribus dedit,,,,,,
SlaT-3175-n44,diffido,v#v-w1289_MPf2_MP,diffido-02,v#01810933,99348,"ACT, REG",vitae diffidens,,,,,,
3175a9,dedo,v#v-w790_MPf3_MP,dedo-03,v#01115585,98205,"ACT, ADDR, PAT",sese praetoribus dedit,,,,,,
Par. 46,,,,,,,,,,,,,
SlaT-3176-n1,declaro,v#v-w249_MPf6_MP,declaro-04,v#00965871,98090,"ACT, EFF, PAT",omnia propere per nuntios consuli declarantur,,,,,,
SlaT-3176-n2,conficio,v#v-w20_MPf3_MP,conficio-02,v#00484166,95742,"ACT, PAT",quibus rebus confectis,,,,,,
